id;name;code;description;active
1;Architect;teal framework Djibouti;Response yellow Bedfordshire;true
2;synergize transmitting morph;RSS;hack;true
3;Soap navigating Investment Account;Movies;Health;true
4;Bedfordshire Auto Loan Account;interactive pink XML;Steel;false
5;Botswana;bleeding-edge Ameliorated;override;true
6;Fantastic Frozen Car;orchid index index;Checking Account;false
7;Hawaii;HTTP Health;engage Facilitator;true
8;proactive Identity;Fresh leverage Gorgeous;purple Frozen;true
9;proactive Georgia;calculating hack;Plastic Polarised;false
10;Optional Oklahoma;IB intranet Music;Borders Spur Assurance;true
