id;uid;name;collapsible;collapse_by_default;active
1;c0779ba4-757b-49f4-ae2d-f6638b1f6a24;workforce Comoros;true;true;false
2;530bc594-890e-4299-9d2b-a4e41d6f4e5c;neutral bluetooth;false;false;false
3;9cd88223-6816-423b-a94a-1414c7273dea;Bolivar Fuerte;false;true;true
4;25682a5b-286a-47d7-8def-46a64d0adb5e;Small Small;false;true;true
5;e0416d4d-2583-4ef7-957b-35358c85cdc0;Licensed Avon sticky;false;false;true
6;c63deecd-f8c3-4354-b84d-3c25eeee6737;transmit;false;false;true
7;c1e06eed-78ac-4b30-83db-b5c756241bfa;Plastic Configurable;true;false;true
8;8991f584-0dda-4900-a01f-6a3a647e8415;systems;true;true;false
9;295fe567-5f74-4d76-8e52-4278e81bc029;Branding Ergonomic interface;false;false;true
10;5e7fdd3c-8ae8-4dd6-ae72-b9905d7d7f01;mobile matrix Awesome;false;false;true
