id;uid;active;name;description;form_name;access_level;ad_organization_id
1;f52e9d6f-d9b6-4689-8c0f-a743bdcbbc56;true;Markets Unbranded;Functionality Practical Wooden Car;Chilean Peso Unidades de fomento connect;CLN_ORG;1
2;d36dd9ec-e178-497a-aaa5-b0b93d6ee545;false;Convertible Marks South Dakota Rhode Island;Tasty Soft Fish;Yen;SYS_CLN;2
3;9a71078f-7ead-4ab9-8f29-014412f4fbfa;false;Polarised;viral;Hat;SYS_CLN;3
4;a4e7bfbf-f479-4001-ad13-b0f16bde34f4;false;one-to-one Indiana card;bluetooth;Brand Product payment;CLN_ORG;4
5;a541e19c-f749-4229-a4e8-476d56e37719;true;Granite;niches Ameliorated;neural;SYS;5
6;8e7bc219-d06c-4159-9a3f-9d1ddcddc24c;false;District copying;Vision-oriented fuchsia;Yen grid-enabled;CLN;6
7;80f961b3-dd62-4eaa-8c39-18fd63eea0e1;true;Bedfordshire blue;reboot;Cotton;SYS_CLN;7
8;84f608b0-dfdb-4be4-8267-3791c527ba9b;false;Technician;Plastic regional metrics;magenta payment;SYS_CLN;8
9;eb96d367-552e-4359-87bb-a55e94dd5475;false;Unbranded Granite Shirt;empowering Branding Computers;Estates Licensed reinvent;SYS_CLN;9
10;4d621cd7-21c3-4fcf-a446-8bccc0e9a632;false;Handcrafted Rubber Gloves engage target;invoice Soft Functionality;compress Pants;CLN;10
