id;uid;active;name;value;async
1;75bff11f-6900-48e2-9841-3ecf092ab787;true;transmitting Buckinghamshire Investment Account;"fhHErR";true
2;44e63714-4576-4a03-b1e9-3d7318713efb;true;Nigeria Idaho Djibouti Franc;"vYI";true
3;27a3da3c-4cfc-422a-86de-83a81ed20c81;true;Integrated;"b";false
4;46ce9bb0-4c39-46c5-b366-7b0c5c7aa3d4;true;Health;"kzeBAm";false
5;25756825-465c-40f9-97b2-dab0ea9cf11c;true;Clothing Tala;"GFFW_";true
6;2d39753d-9c15-46ce-911f-fad872982d42;false;Fantastic Cotton Towels SQL Accounts;"saV";true
7;a52f2445-2f60-4565-b7f2-ba67a72a366e;false;e-commerce;"fqJDA";true
8;45b48ce7-ef86-4b76-9659-6c9f0673bcb6;false;Proactive;"yeo";false
9;f7be89a3-0041-4db7-8bd7-57b8400aa883;false;Intranet;"M";false
10;82b80e8a-94c6-488a-8b7b-2667975540e0;false;navigating Wooden Bike;"Arrt";true
