id;uid;active;name;value;uri;metadata_uri;version;override_existing;deployed
1;8079ca1a-cd70-4e0b-ba4e-6248cce4ed9c;false;Handmade Steel Ball Rustic invoice;"LYh";connect Delaware;Tasty Metal Soap payment;Overpass;false;false
2;88c64f52-f73c-4e33-9ac7-d2f5ee6db8e7;false;Corporate Tactics B2C;"vNpi";GB scalable Kina;schemas;Unbranded Functionality;false;true
3;c480a10a-eaeb-41d8-ba89-52afc849f575;false;Lao People's Democratic Republic;"lAoq";Switchable;Holy See (Vatican City State) markets vertical;European Unit of Account 17(E.U.A.-17);false;true
4;aeb60818-5c96-47bd-93ac-7aa19b4ea8d9;true;modular;"J";program;Guinea Franc Wooden multimedia;Pizza orange;false;true
5;0ac24ed9-874c-4333-a9d5-a971c03e9d01;true;firmware;"Dn";mobile;Multi-layered copy;feed Slovenia;true;false
6;b37c55d9-d520-42dd-8faa-37a0f9cc9b9b;false;Division;"luPPHc";solid state hardware conglomeration;mission-critical Sleek Fresh Mouse strategize;Awesome;false;false
7;f8fe906d-5bee-4619-adaa-27f8ad3485b9;true;partnerships;"mb";Bike SCSI Keyboard;invoice;indexing;true;false
8;7b45373b-c590-4397-b733-2a02356566c8;false;Global Senior;"Vhegw_";Guyana Dollar;Concrete front-end;Kina Avon Mobility;true;true
9;6f478c70-ad63-4a0f-a310-5b0d256b0314;false;Unbranded Steel Tuna;"Ax";Steel Saint Vincent and the Grenadines Swiss Franc;Tools Home Loan Account Identity;Baby;false;true
10;b8f554fb-ac14-416e-a3ee-e7aaaddb4bc4;false;Configuration;"iBXSkg";Washington Papua New Guinea e-tailers;Shoes Hill;Guam compelling Yen;true;false
