id;uid;active;name;value;description;ad_organization_id
1;bf8d7f51-5816-41d4-bb2e-7bdc6bf3f8fe;true;Towels Rubber;action-items Cotton Unions;online;1
2;40850b59-27ed-449c-91d9-3daa2709e112;true;moratorium;Developer;Prairie;2
3;78accf9a-6f0d-4145-a0a0-1bfad68549b4;true;1080p SAS;optical capacitor;International system engine;3
4;f8c7c7d3-f313-42b5-8abf-49a481c6c2f8;false;Saudi Arabia European Unit of Account 9(E.U.A.-9);Borders multi-tasking Ball;ivory maroon;4
5;3db8bdea-3002-4e77-915b-cca41e958c1a;false;virtual;programming invoice;Connecticut Riel;5
6;b4819594-54f6-40a2-9f9f-07945518c66b;true;Fresh;knowledge base toolset Oregon;Fresh Optimization Home Loan Account;6
7;a0419a5b-9614-4424-ac95-59c883652e04;false;maximize;Investment Account;synthesize Auto Loan Account;7
8;78e13c98-5fd4-40e8-a040-2679b1d1ced7;true;Unbranded Concrete Hat Maldives;Meadows Fresh Lithuanian Litas;Consultant;8
9;6424f933-53ac-4ce8-bd91-1deb13f42187;true;Yemen incubate;withdrawal bypassing SQL;quantify;9
10;c06f7db8-a385-4524-b3e0-c99dd5f89d21;false;application instruction set Delaware;vertical parallelism Applications;Key Grocery;10
