id;uid;active;name;value;description;type;ad_organization_id
1;6de1f60c-4d08-4bc2-a0a2-2b683af75c66;false;Generic;"ttvP";Personal Loan Account;REPORT;1
2;2f01d6f5-3ce1-4bd3-9465-dd153cf5c898;false;panel Fantastic Frozen Shirt;"kjxeV";Centers;WORKFLOW;2
3;598dc66c-8c93-42fe-b628-66eec887f9bf;false;Tunnel;"nK";Data International;WORKFLOW;3
4;8c8bb133-19b0-462e-a487-a26b8548df9c;true;redundant Small Granite Keyboard;"Q";Cambridgeshire;PROCESS;4
5;9aa9a0f7-2f42-4b97-acd0-7e6e14d64f0b;false;application;"VNkAF";standardization functionalities functionalities;REPORT;5
6;6546a206-ce1e-4b32-9e48-37966a5e8938;true;bandwidth Sports Designer;"rN";Berkshire utilisation;PROCESS;6
7;d6082554-b768-4b6e-b46a-a98a6ba00281;true;repurpose;"H";strategize;PROCESS;7
8;aed19c37-b753-4e12-9e5d-5995bc0bb0d7;true;Liaison generating RSS;"fSoXu";Ville sexy;PROCESS;8
9;8215f635-3239-43d7-827e-015cbf3f053a;false;Avon encryption;"bXYPL";mint green;WORKFLOW;9
10;31ab3f5c-da61-4d46-87be-a739d3509dcf;true;withdrawal invoice;"yQLJLc";FTP Technician Licensed;REPORT;10
