id;uid;active;ad_organization_id;user_id;authority_id
1;061c8d3a-2655-424d-8075-7e341bda4008;true;1;1;1
2;1681f840-e2d6-4d2f-b707-3f6911db8d54;true;2;2;2
3;68227cf0-0a80-49cd-9b63-61d860c08245;false;3;3;3
4;bd755bd5-3e60-4cd5-b228-daa05da7547a;false;4;4;4
5;26a55b08-9d6f-4fd4-8266-ad2711ddfa80;false;5;5;5
6;c85762de-2ee9-44e0-b2ba-27c50d1a32ea;true;6;6;6
7;6c898453-be25-4762-802b-be067fbef1c1;false;7;7;7
8;62b8e6b8-a4b4-416b-b142-03581c576bb3;false;8;8;8
9;e4452105-4513-4277-8b4e-d945e3654c5d;true;9;9;9
10;d554476f-7b34-48e1-b801-dda42d298f87;false;10;10;10
