id;name;description;uid;active;ad_organization_id
1;migration Checking Account Arg;streamline innovate teal;68776e7c-6f70-43e3-bfe6-f32045dc1651;false;1
2;customized;Optimized Money Market Account;7c0d6b6c-5b59-44d6-85e3-a03d6a12ad8e;true;2
3;optical Coordinator;Roads;ff750e5a-19d3-41eb-80b0-aa3a8b8159e2;true;3
4;Beauty Cross-group French Guia;Cotton indexing;1943d5ec-b4ec-4943-8ac7-fb7e1fb4b049;false;4
5;Savings Account Graphic Interf;Lithuania;7b85c02f-ca21-4940-8d97-be8825931261;true;5
6;value-added Trail architecture;Intelligent Handmade;6087aa7f-7449-4061-8394-45f5137bf05a;false;6
7;Global;supply-chains transmitter Sports;c3195415-1867-4d79-b5bb-1452d8c32e57;false;7
8;Expanded;deposit;f364e71d-b13c-4c9a-8e73-7ad1ee732253;false;8
9;users bypassing Ergonomic Plas;Tools Soft;5e6fc1d9-5a83-4146-bdbc-3440101e970a;false;9
10;cohesive access Fantastic Soft;optical;22144868-26bd-4250-8666-6c8b1f3eaa9a;false;10
