id;name;score;uid;active;ad_organization_id;bidding_sub_criteria_id
1;Corporate Customer-focused;16157;941597b3-5eea-41f9-8f02-e9a61c81910e;true;1;1
2;Factors;88924;ab52978f-f542-4964-aaf4-fa006d1601ff;true;2;2
3;Grocery;70739;b4ae4e59-ad3e-4d48-9bd6-18ecdcd83914;false;3;3
4;architectures;30705;0402ebc6-8807-4d15-ad99-e5a91694f956;true;4;4
5;hard drive Rand Zambian Kwacha;53654;a105d52a-df1c-4f53-86fe-5d6aaf796cd8;false;5;5
6;Computers;8481;fb5707fc-265c-4822-85e9-55e0407853b8;false;6;6
7;Bedfordshire Ports Object-based;65863;9a29ba74-5430-4c14-b6ed-3b48630d3454;false;7;7
8;Adaptive asynchronous;15202;45f90d52-2116-4947-9691-ad43b3e3f188;true;8;8
9;impactful;4739;f0c3a885-3576-48cb-b1f1-6e11b59286fb;false;9;9
10;Intelligent Granite Hat;72494;5aa4715b-dd38-4bd4-9001-5a7fb050d251;false;10;10
