id;name;description;cost_evaluation_selection;winner_selection;uid;active;ad_organization_id;product_classification_id
1;Incredible Metal Computer Tuna;Ergonomic sky blue;globa;Arizo;6bef455f-2b36-4eb8-b707-998a44cb91e9;false;1;1
2;client-server;experiences;turqu;Texas;40737e88-b2fa-418a-b87e-ab5a06b6dcfa;false;2;2
3;Supervisor;Distributed;culti;copyi;ea6d7988-5d55-462f-bf1f-a7a2fe1997f6;false;3;3
4;transmitter;Devolved Berkshire;ADP;Compu;aa29f1a2-b68b-49cb-b334-9624da37d49c;false;4;4
5;hack;AGP Money Market Account;Optim;bypas;945ef6ee-e6a5-43ed-92bb-1873fad5e3fe;true;5;5
6;communities mobile;productize withdrawal;frame;didac;9d1a7343-15e4-4be1-a206-19f6d8c67e41;true;6;6
7;Dominican Peso;impactful;Kuwai;copyi;10eed7ea-e254-4867-9325-501a05b5198d;true;7;7
8;hacking paradigms Intelligent ;purple Home Loaf;Opera;Wyomi;4586e410-450d-406d-bea5-c175a7b3c3f6;false;8;8
9;Security Gorgeous Wooden Shirt;Web;virtu;olive;095dc30d-77e4-4d8b-a000-70a05fc103c9;false;9;9
10;knowledge user Nebraska;ADP driver;5th g;Cordo;fbdb98bd-d0b9-41d2-8943-c6ddef7543b0;true;10;10
