id;total_debit;uid;active;ad_organization_id;c_currency_id;c_document_type_id;c_budget_plan_id
1;19070;f1a92e22-dbed-4f7c-b1b3-a7fe542a5733;true;1;1;1;1
2;28745;3865ca35-eaeb-46e6-b9a6-4457ee532f5e;false;2;2;2;2
3;52054;14d5b14b-c77b-4741-a093-edb1c85ed365;false;3;3;3;3
4;89970;758d6f3c-4769-4d77-aa9c-af979590a190;false;4;4;4;4
5;61937;3c2b0120-82a7-4f8a-8b99-1b39a95d9fb0;true;5;5;5;5
6;19481;c215780a-0180-4f9d-bebc-f6c4a54a5a93;false;6;6;6;6
7;72414;bde2df2d-8eba-41be-a879-0fc05da1a1cc;true;7;7;7;7
8;85345;0d77a9c4-62d7-4528-9a4e-cee32ee80633;false;8;8;8;8
9;23100;de98b836-58d1-4e6a-a5b6-4d2de0afe4a1;false;9;9;9;9
10;61708;cebf9306-5416-4f0b-a571-7e60208cb297;false;10;10;10;10
