id;name;description;sector;uid;active;ad_organization_id
1;Fantastic Granite Car Baby Refined;Ohio website;TERTIARY;04d34a43-5343-4a3c-a412-d7d928320b49;false;1
2;ivory enhance Assistant;red;PRIMARY;293ded15-3377-47e4-aecc-836e736c2a27;true;2
3;Sleek Concrete Shirt circuit architecture;virtual analyzing;PRIMARY;82b53e79-a9c9-43ba-8232-22d266641f1b;false;3
4;scalable Arizona Tala;bleeding-edge bypass New Mexico;PRIMARY;e32b82e3-b377-4a3c-a5f3-ac6bdc88d0fb;false;4
5;SMS;Bacon;SECONDARY;f84db6b2-b6c8-41bc-9d10-bd4eabca6f0b;false;5
6;Generic Metal Tuna Plastic;quantifying;TERTIARY;2df088c6-88c6-45bc-96fb-a378a5d80bed;false;6
7;index;RSS Borders;PRIMARY;1a41afe4-214c-4957-bce1-c32d39aa97b8;false;7
8;Mill;Advanced;SECONDARY;0960dc12-3289-42a3-bee3-f21a56d2e8ce;false;8
9;Lead;digital Rustic;SECONDARY;52afb86a-2cef-4a18-9bd0-8713b6f736e6;true;9
10;Multi-channelled Profit-focused;Gibraltar Pound;TERTIARY;318e8d32-517e-4b2c-81d0-06e3ddbcc4af;false;10
