id;valid_from;valid_to;rate;uid;active;source_currency_id;target_currency_id;convertion_type_id;ad_organization_id
1;2020-09-02;2020-09-03;84814;3ae9c1e5-507b-44c5-9180-53e8f5d331d0;false;1;1;1;1
2;2020-09-02;2020-09-03;16377;da45071b-3fb8-4fa1-90fb-7dfea8820fb9;false;2;2;2;2
3;2020-09-02;2020-09-03;71974;1bccf5d6-1cdb-46c0-b800-12d25a72ca04;false;3;3;3;3
4;2020-09-03;2020-09-02;97336;be61c165-ae49-4de3-a988-1d01d419b542;false;4;4;4;4
5;2020-09-03;2020-09-03;15758;fbfb2f94-ae9e-4888-9923-2413b50ffeba;false;5;5;5;5
6;2020-09-03;2020-09-03;92301;85b6a0ed-c018-4a7b-83e4-9b9c4306072b;true;6;6;6;6
7;2020-09-02;2020-09-02;35799;6e5598fc-bd4d-45a9-b590-eb8ad6c7fb44;false;7;7;7;7
8;2020-09-03;2020-09-03;84700;d01d6de4-eac5-4046-ae10-6572cec52b7a;false;8;8;8;8
9;2020-09-02;2020-09-02;86930;48a92049-15d5-4542-98e0-cf7cdd8ef590;true;9;9;9;9
10;2020-09-03;2020-09-03;98331;d2404ff6-9920-4776-b79b-5ce636469cdb;true;10;10;10;10
