id;code;name;description;uid;active;ad_organization_id
1;Mouse;Incredible out-of-the-box;Wyoming Sleek Rubber Salad;0db2323e-f054-4ea0-865e-f981800fb463;false;1
2;TCP Producer;pixel;Meadows Buckinghamshire Polarised;cbd6d195-74b4-40c2-91e8-b6e496a511e2;false;2
3;needs-based solutions Soft;e-enable generate;open architecture indexing;40e03a37-6e7e-442a-bf0a-1b853fb66688;true;3
4;redundant;Investor Poland Coordinator;quantifying Senior;b8907c42-9fa6-4d1d-af01-45f7a1606490;false;4
5;plum;redundant;models connecting;cac3bc55-bb39-4dd0-b5aa-f61ca92711ef;false;5
6;Horizontal XSS;deposit;Lempira payment;3dc645d0-fbd3-4310-9807-ff5249c31b97;true;6
7;PNG Ecuador Berkshire;Identity backing up interactive;Saudi Riyal;a4772586-8154-45c1-b36f-a5bd6b5cb0c8;true;7
8;transmit Producer;violet;Toys Tasty;9c8b6078-92d0-4640-a86c-28c4377925ef;true;8
9;Rustic Chips Avon;Intelligent;mission-critical Implementation;f7b85122-e61d-44e5-8da2-00db08f9bf7f;false;9
10;Central;Intelligent Intelligent markets;Gourde US Dollar teal Principal;9daf390a-ffd4-4cc1-8585-7fe5ac1321b5;false;10
