id;code;symbol;name;uid;active;ad_organization_id
1;"LPB";magnetic Sports Legacy;Rubber FTP;72aab0ba-1f60-4885-9729-0b72a53f9ff4;true;1
2;"LQN";Forward Rustic;SAS payment Personal Loan Account;64b467d7-8b88-4b41-bab6-d60e23d4d86a;true;2
3;"XSY";Sleek Concrete Computer compressing Plastic;transmit capacity;71799e8f-4bb9-484d-9e94-c81a422c3fd7;true;3
4;"EVU";panel withdrawal Bacon;Handmade Plastic Table;9470234a-9f21-48c1-8cda-f00599e60120;true;4
5;"OFZ";Skyway;Baby Home Loan Account Practical;c618f8e1-1b9a-4399-b76a-791b45014c2f;false;5
6;"BAT";logistical Russian Ruble HTTP;Research;d5ac3c70-02fb-421a-9128-5711d4ca453b;false;6
7;"GTP";systemic THX;Senior hack Chicken;ccb40c87-2edd-42df-90ea-251473d240a3;true;7
8;"LRW";Credit Card Account withdrawal;Idaho Bacon;8fa57361-3428-4f86-ab08-047941169e9f;true;8
9;"TPL";Borders;deposit Regional;1af2ed13-e838-45f1-8f49-d1cfbdd05037;true;9
10;"GME";Metal auxiliary;e-business;98becf7f-8946-4c08-ab71-0b8b9fa113d9;true;10
