id;evaluation;evaluation_type;form_type;weight;passing_grade;uid;active;ad_organization_id;evaluation_method_id
1;Human;lavender;programmin;87;59227;7383dd38-7864-4e5b-8089-298160023992;false;1;1
2;conne;JBOD;Assistant;59;82052;22e24386-e90b-47e8-90fd-5fa14b2e4584;true;2;2
3;Secur;Customizable feed;European U;85;95882;144bb189-fab4-4ac5-8b53-542a1dbb9a84;false;3;3
4;back-;Legacy orchid;connecting;96;66059;98627d73-1818-4f8b-9b27-6968bce1cbd2;true;4;4
5;stati;Auto Loan Account Cambridgeshire COM;Product dy;33;19420;cc9f34dc-b399-423e-bc32-262557dbb3c6;false;5;5
6;Mauri;Accounts;supply-cha;70;93338;4d184e27-3a02-4701-8fcc-49f6d700966a;true;6;6
7;depos;Avon Consultant;redundant ;15;69401;b0e009da-a0ff-4c90-8871-032faf1f67e1;false;7;7
8;Hryvn;SDD Chad;e-business;60;10533;4a0dc2a6-8736-40a4-9a77-abaddcb50cb2;true;8;8
9;Usabi;solid state Dynamic Up-sized;Shoes;28;30938;e840eb48-6712-4782-b29f-360f5150eb0c;false;9;9
10;Shoes;indexing Fantastic;Tanzania U;93;7659;94bdc0bc-7c2c-4905-930e-b81dc807b55f;false;10;10
