id;name;description;form_type;uid;active;ad_organization_id;c_product_classification_id
1;haptic;Ergonomic;Handcrafte;87723775-9f1b-419c-8af6-722e2aad8365;true;1;1
2;application Hat programming;Borders SMTP SSL;Wisconsin;ded114b4-9601-4ad2-9729-8ec215574a78;true;2;2
3;Steel Monaco;Granite benchmark;navigate P;64f4bf2f-cdeb-460a-b237-8a07474e094b;false;3;3
4;Keyboard ADP;deposit help-desk Personal Loan Account;Unbranded ;81f726cb-2d47-4632-9493-95b4ff6bfcc9;true;4;4
5;Compatible invoice Music;killer CFA Franc BEAC;haptic Ber;c2c2c761-b16a-4314-b324-77931a8c27d3;false;5;5
6;Nebraska Berkshire homogeneous;parse;Licensed F;5820c990-6d35-4874-b4bf-1724f073b4d2;true;6;6
7;Specialist AI;Ergonomic;Aruban Gui;e27846ee-e91f-4a62-a622-5cd56845a1ee;false;7;7
8;orchid Producer;Human;Cotton Dat;4930a94e-7ee5-4f03-811f-0356ca41707c;false;8;8
9;Keyboard;Port Front-line Cambridgeshire;Sleek paym;c8e2583e-feb2-441f-97fe-46649bd3be15;true;9;9
10;Tuna Arkansas;Taiwan;Incredible;a81bd87a-cf75-494f-9084-db68f44b5a8a;true;10;10
