id;name;description;uid;active;ad_organization_id;binding_type_id
1;Montana purple Garden;Idaho;6170ff40-71c0-489e-a4af-8eae508a9d96;true;1;1
2;Metal;payment;3302339b-4ba5-4ea7-be9c-fc59e5b84b44;true;2;2
3;override recontextualize;Functionality Shoes Bedfordshire;aa65befe-7013-4efb-95a8-83ea9b4e31f8;false;3;3
4;Program Borders;Peso Uruguayo Uruguay Peso en Unidades Indexadas system Configuration;7fa63356-83d8-4132-b612-d77145c05295;false;4;4
5;SQL Holy See (Vatican City State);port Music;39a637ef-84db-401c-ad6b-3f9ec7f638e1;false;5;5
6;index;Berkshire sticky;32cf8335-506f-4998-b15b-a26fcb69ac6c;false;6;6
7;Factors innovative payment;copy enterprise;7debdf65-f40f-4e6b-8bec-285ecf818144;true;7;7
8;Handcrafted front-end lime;implementation International orange;1175cd77-d3d3-40c9-8805-807d16f7c77a;true;8;8
9;deliver parse Checking Account;Sleek Granite Bike payment Zambian Kwacha;e4db51df-7648-4308-95a5-4e7ebca1f8f6;true;9;9
10;Central withdrawal;Personal Loan Account Rubber Direct;2347210b-9e3f-44c8-8a71-d788a383c784;true;10;10
