id;name;code;description;uid;active;ad_organization_id
1;deposit open-source;teal program;Chief matrices Direct;13f558a8-5df7-4431-aebf-49467a2b31c6;false;1
2;Cambridgeshire attitude-oriented;red Visionary Small Frozen Sausages;bandwidth Licensed Plastic Table;f1080391-5e67-43a9-b2d4-f990174644c5;true;2
3;e-business;Home Pre-emptive;bandwidth Soft virtual;e8f73165-7fbe-4f5d-8641-6e6b587ef64f;false;3
4;Monitored e-tailers;Nigeria programming;Groves Programmable;84c82197-87af-4cc8-9218-f6f9b6a3aa19;false;4
5;Automotive;National;Designer monetize Global;1696b905-b18c-4a55-8a4b-4bfe7868fde3;false;5
6;program wireless multi-byte;syndicate enhance;intranet;c279d311-e763-4bc3-b5c2-9c36a9f4e10a;true;6
7;Analyst Leone;Internal;Myanmar Music Borders;ed4a9f51-e3ed-4aa1-99e3-91772a2179e0;true;7
8;withdrawal deploy e-markets;programming transmitting;Streamlined Gorgeous Concrete Bike;4a12ab13-e3ba-4dcb-844d-753066013d29;false;8
9;Handmade Car;Multi-tiered SCSI PNG;Regional;177433f0-9d9f-416c-aa5a-52ba88770650;false;9
10;Walk;New Hampshire e-markets;bandwidth Fantastic quantifying;1b5145ee-512a-4977-9d59-5b9647144db8;true;10
