id;uid;active;pic_id;business_category_id;ad_organization_id
1;0a254b25-ce0a-40b4-a29b-ba2df669dabc;false;1;1;1
2;b5b6f451-0990-4244-aebc-9b013c51a393;false;2;2;2
3;dac63259-530f-4f64-aa62-23338d121e22;false;3;3;3
4;aac5fab3-0561-4622-928e-7d1a896ce798;true;4;4;4
5;b13e11ad-ad90-4a24-b4f7-d16dc7b03660;true;5;5;5
6;e0ae1fde-2e71-45fe-8a8f-5cf98906afd5;false;6;6;6
7;d4c4ca49-cd14-4bc1-b5c4-198fe75e794c;true;7;7;7
8;a25a5407-fe70-43fe-bcd6-5f39fa608d32;false;8;8;8
9;95b767b2-e3ff-4f4d-a0e8-761e6527690a;true;9;9;9
10;35cb3603-449b-4650-906c-b1ce959cf830;false;10;10;10
