id;name;uid;active;ad_organization_id
1;Books;fdb7e285-1064-40e6-818f-a0b1233206d8;true;1
2;engineer;3caab99c-7f29-49f6-ac47-9b22f92fb993;false;2
3;Borders Reduced;959ad218-7a79-4977-a456-32c02fbb1279;true;3
4;plum;e87cb64f-ce05-440c-a9ef-6fd6b13273dd;false;4
5;Accounts Money Market Account Health;ef892347-6c22-4ee5-a90d-fca57cce47a4;true;5
6;deposit Devolved;7cf69b0f-bef6-41fe-ab29-c7a257699beb;false;6
7;compress national;bb2656ff-ae32-48df-bd59-1275f58bc96e;false;7
8;Sleek holistic;ffd49f35-70c9-46e7-be39-e49e461930e6;true;8
9;Handcrafted Frozen Soap impactful Implementation;fdd4f2ec-2fc2-4350-b33f-45738b03143b;true;9
10;calculate gold SAS;32b755a4-bc05-432a-9c16-f1279d3f9abd;true;10
