id;description;sequence;uid;active;prequalification_event_id;prequalification_step_id;ad_organization_id
1;holistic Wooden;3430;fa722cc7-ed10-47d4-8d2f-290dc99b1f5f;true;1;1;1
2;Gloves;18512;88440d25-9aac-4179-892f-f6245df17173;false;2;2;2
3;Facilitator Avon Egypt;69594;5383aed5-a142-4226-8891-d8a95048c983;false;3;3;3
4;Outdoors Borders red;60045;8ed92733-b0bd-4c8e-b27d-009441d1ead5;true;4;4;4
5;Stravenue;85596;a6afd702-c6b2-4f9e-869c-891375bca490;false;5;5;5
6;Bedfordshire;50486;be5c29a0-11ee-46b3-b552-5964f845faf1;false;6;6;6
7;Representative bypassing;33339;b0aecf97-18e0-45c5-90ad-918a89eccdc6;false;7;7;7
8;Persistent;69320;e4298d25-6207-4a1f-aa15-4371c376c57d;true;8;8;8
9;reinvent Principal interface;93567;937aeb1c-b325-472a-8233-3158fd80f487;false;9;9;9
10;Cotton bluetooth;32940;e6902169-f7e7-4c7f-b622-3db057819aed;false;10;10;10
