id;name;uid;active;ad_organization_id
1;intuitive;6927d06c-913e-4c81-b3cc-fc4b7df21715;true;1
2;zero tolerance implement Iowa;67a30bd5-f320-4de6-94c3-02a9b52620f4;true;2
3;Small Personal Loan Account viral;22484a1c-b62e-4806-bf28-625996841e81;true;3
4;Human green Cotton;50e75b0f-8007-47c2-acd4-b27b79b7d364;true;4
5;Hawaii Designer Assurance;e7504ef4-6297-4140-9b53-348d35c12e17;true;5
6;bluetooth;f84045b8-59c5-4bcf-bc97-eda751154fa1;false;6
7;Horizontal;ac917498-f6ac-416e-ae49-bc54631a6966;true;7
8;Fully-configurable;de6bc738-665a-4642-9943-cd11f4d51b39;false;8
9;Expanded Netherlands Antillian Guilder;63b4b96b-5500-4577-a7ed-3f8f0321db6a;true;9
10;Bahrain transmit;07450e08-0e88-4fdc-a80d-97732a434a64;true;10
