id;code;name;description;uid;active;ad_organization_id
1;Assistant e-services;invoice Refined;Sleek Peru;f5992e1e-5ca5-4e9a-a954-086fca0169d7;true;1
2;haptic;Sports Refined;synthesize New York;bb3067c3-6c46-4ed9-943e-a55c61933810;true;2
3;Fantastic;Checking Account Pike;calculate deposit;1eae4d31-951e-4edc-928a-c4188fff527d;true;3
4;Computers capacitor Small Metal Bacon;Corporate pricing structure collaborative;Senior Cambridgeshire;1d5177f7-04b6-4b91-bf65-5e0723758c61;true;4
5;Awesome Metal Ball;bandwidth magenta;Central homogeneous Analyst;8fbb74e8-4474-4b40-be31-bdbe31ed09d4;true;5
6;Granite;Universal deploy Borders;Squares;583cfad4-e5f1-4ec2-99e0-26eb926a2772;false;6
7;deposit Minnesota productize;Florida;Product Personal Loan Account;8f635b79-0af9-4e8d-b85d-fcaab3963e11;true;7
8;Health facilitate;Chips calculate;visualize Florida;4fd62897-556a-419d-af66-9b48c963a9c1;true;8
9;Buckinghamshire;Personal Loan Account Rubber;program Manager International;15a4900f-b153-4277-8722-978a3c0192ea;false;9
10;Fresh;Small Plastic Salad User-centric channels;South Dakota infomediaries;82347d6f-044a-4e51-b04f-db950d053bd3;true;10
