id;name;description;uid;active;ad_organization_id
1;Technician;bluetooth Facilitator;7441b68d-1be4-4bcc-a4e8-cd617a628d01;true;1
2;Cambridgeshire;Buckinghamshire Avon e-commerce;e158ebac-34ee-4211-a530-c556775220c0;true;2
3;seamless customized;Tasty stable;ef8cb1c2-d419-4a68-9572-17fa36c9978b;true;3
4;payment;invoice;916a7fc0-5e25-49a8-91f4-44243dde694e;true;4
5;quantify International ADP;Iowa Botswana multi-byte;ce27c820-db12-42c5-b2e3-92a74adc3c85;false;5
6;Metal;communities;45754f8e-ff50-4684-8b44-df1f63fc0580;true;6
7;Ridges infrastructures Ergonomic;Albania Rwanda Franc;ae906c95-8d01-44b0-a7d8-b1fead0ecd09;false;7
8;Markets copying Guernsey;Fresh Health Refined;2a209bef-86e7-45a2-8d4c-8eaf7b3ec16d;false;8
9;auxiliary Savings Account Isle;scalable recontextualize Multi-layered;0b35cad5-3f88-479e-9165-c2814dc7f16d;true;9
10;Forward cross-platform synthesize;distributed Sleek;4ef9cb37-9547-4f3e-8420-d413465b509f;true;10
