id;code;name;type;uid;active;ad_organization_id
1;Principal Buckinghamshire;frame;Rustic sticky Palestinian Territory;f231ede3-68c9-4005-ab8d-ba28b7280ca1;true;1
2;application Forward Beauty;Web time-frame copy;deposit architect;4eda5fbb-7d26-4b88-8077-7f789df16960;true;2
3;Games PCI;solutions;Idaho;b411ff4f-b6d1-438b-b651-6d7c0a9d6de9;true;3
4;cohesive backing up Gorgeous Rubber Hat;Suriname;Bedfordshire Dominican Republic;2b1bb448-b1c7-4b43-8efb-eb22faa17d74;true;4
5;moderator;grey Rubber;rich Enterprise-wide;eff1f572-0d44-40e8-a44e-28fb6ac0d993;false;5
6;empower;analyzer;Berkshire Communications;3b7c342e-4c8b-47fa-a2d6-49cbe8a3c2dd;false;6
7;Throughway Usability;Outdoors hard drive embrace;Liaison hybrid program;9270af5e-fa13-4ed7-85f7-011bab336ef2;true;7
8;compelling Syrian Pound;synthesizing;Cambridgeshire;daa3f883-d18e-47f3-a2b4-a0bb3920e591;false;8
9;indexing Legacy;Indian Rupee Ngultrum;aggregate structure Metal;d2e13226-fa7d-46ac-bf87-9ec8f2399d6f;false;9
10;Coordinator Investment Account Somoni;Practical Wooden Bacon Future-proofed withdrawal;indexing Gabon;bbdaadcc-aea0-4730-9261-901522868013;false;10
