id;depreciation;life_year;life_month;uid;active;product_group_id;ad_organization_id
1;DOUBLE_DECLINING;7962;76498;ae6876a8-0896-483b-b0f9-c133cacec083;false;1;1
2;STRAIGHT_LINE;75854;52462;e77dcc30-0b72-4ff3-b8b9-89b814650d8a;true;2;2
3;STRAIGHT_LINE;69907;47909;71ba8079-5cdd-41ee-ad8d-fc81ee465983;true;3;3
4;DOUBLE_DECLINING;5396;48106;60448c9c-630a-4744-ba43-e2f245091128;true;4;4
5;STRAIGHT_LINE;16347;59859;4a66193a-5ae3-43ed-8818-1ed4752d1aef;false;5;5
6;DOUBLE_DECLINING;76504;14379;b05d57ad-9a62-45a7-bdc6-047929ec78ad;false;6;6
7;DOUBLE_DECLINING;88182;72917;248ec681-d7e2-4660-93a3-db8aeaf727d6;false;7;7
8;STRAIGHT_LINE;28430;80617;7d0f0c2e-f840-46b5-804f-4ddcc2bf9968;false;8;8
9;STRAIGHT_LINE;44009;89658;89cdc511-2636-40bb-9d06-8dfa572ad7ac;false;9;9
10;STRAIGHT_LINE;10272;28897;a1ae4345-e528-4619-a304-76eca98edcaf;true;10;10
