id;name;description;uid;active;ad_organization_id;country_id
1;Tactics;Boliviano Mvdol Kids Intelligent;d898fd04-9b35-4f80-b42e-4cadeab7a20c;true;1;1
2;Texas Borders Serbian Dinar;Expanded;e1e90ef9-7b91-4934-8eea-6b77ca0ec060;true;2;2
3;portals fuchsia Manors;Montserrat Implemented;77624468-5073-412d-a606-0664e6a85447;true;3;3
4;seamless;Sri Lanka Rupee Berkshire Costa Rican Colon;0bc21553-5155-4339-b779-14ab21e23cba;false;4;4
5;Books;Coordinator;f2d374d2-0892-4a47-bf36-3d39aacf4a7f;false;5;5
6;Beauty;Borders;55c101ea-0575-4fee-8094-7a22087f6660;false;6;6
7;green Automotive;override magnetic circuit;91f29575-6acf-4c65-8428-56d41528a672;false;7;7
8;indexing;Forward;cf2fdb94-a325-4f90-ad51-b117c6ab275e;false;8;8
9;Won Cotton;Niger Montana;ff2b6902-6f1a-4622-8cc5-995fb3d332fb;true;9;9
10;Group Optional;deposit;d9b6f9f2-50d0-468d-b167-2616f7984ae2;true;10;10
