id;name;uid;active;ad_organization_id
1;infrastructures;57cbffb8-2f5f-408e-a7e9-797e7065417e;false;1
2;Fresh Branch methodologies;45dbea5c-f18f-4461-a159-c74a8f28b096;true;2
3;SMTP digital Keyboard;544ce4cc-6fbc-409d-9e8d-365c0249252e;false;3
4;District;a3ba276a-37f3-4da8-a572-4deba188b5d3;false;4
5;Strategist Nevada Functionality;3dab42ca-d43f-4943-b921-5182d0f56dc6;true;5
6;Awesome;5341db76-3a84-485e-8a43-98ed777d3b58;false;6
7;innovative RAM Quality;15a4d85a-1668-4c6d-90e8-92ca10e0a1cd;false;7
8;connecting Identity SDD;de9a4960-3161-4ddf-9c34-904f49865d16;true;8
9;driver Yuan Renminbi;c1073def-b256-4cd9-bad1-6878ea86c229;false;9
10;East Caribbean Dollar;043d7655-5fa8-4e64-84bd-f2caca6cb83a;true;10
