id;name;description;is_withholding;uid;active;ad_organization_id
1;generate;Programmable policy;true;c41cf65c-cd7b-4ed1-91dd-f245d5b0cb32;true;1
2;Engineer Designer;Singapore Dollar Fantastic Generic;false;f48e716b-6a85-4165-9ed5-ee04daffe1f9;false;2
3;deposit;cross-platform;true;ddc138aa-ba5c-43ca-aa02-1aa5923ed0af;false;3
4;Buckinghamshire navigate;content;false;5622e0eb-64af-478b-b1a2-7cb7614f0f60;false;4
5;CSS virtual bypass;Shoes Agent;true;5ed9481e-45d4-43dd-b15e-3ec2b9f76990;true;5
6;Saudi Riyal granular Metal;transmitter;false;96787500-2dd2-49ce-9fa0-33e10a18f87f;true;6
7;capacitor panel;Right-sized Facilitator calculate;true;ca971777-3cbe-402e-b37c-ad04661fc98b;false;7
8;Drives Money Market Account;Plastic;true;6ac0774f-b6ee-43a8-97f8-bb78b3faabd9;false;8
9;teal Minnesota;Automotive secured line;true;5a572ed4-be3c-40ac-9111-1f1cedf09a10;false;9
10;Chair Legacy;Developer architectures Tools;true;69183fcd-de22-4d68-97b4-26ba0207c939;false;10
