id;code;symbol;name;description;uid;active;ad_organization_id
1;1080p;North Dakota Adaptive;Wyoming open-source black;Handcrafted;5657d33e-c041-4af5-b39a-89ddcd1a5844;true;1
2;Wisconsin;Qatari Rial morph Lights;Savings Account web services collaborative;Liechtenstein;dc2ae473-9ccd-477f-b2a5-fb6ab81b9be0;true;2
3;Tools architect;virtual Gorgeous Credit Card Account;Buckinghamshire New Mexico;Organic killer multimedia;2b4ea597-396c-4ab7-90bb-02136878df9e;false;3
4;intermediate;Awesome Cotton Tuna;infrastructures;Health evolve sexy;f5b4222f-24af-403b-ac66-ec09e557b7b8;true;4
5;Bulgarian Lev system yellow;HTTP bandwidth discrete;next-generation content copying;holistic withdrawal;43c4308b-2547-4f21-8a5b-c644858b7cb3;true;5
6;Lead Pennsylvania;connecting Bedfordshire;productize;niches Mouse needs-based;9a968b6e-6a92-42c6-bc2b-cdc7e47a9bb6;false;6
7;parse;sky blue index;Tokelau;Buckinghamshire;d5e342c3-bd74-4c5e-ae99-043183fa115f;false;7
8;hack Armenia;Slovakia (Slovak Republic) channels Fantastic Plastic Sausages;compelling;action-items Heard Island and McDonald Islands;f545d3ea-75cc-4ffb-895f-38f215b012cf;true;8
9;Extension Czech Koruna withdrawal;Incredible input;Locks XSS capacitor;Monitored pixel Checking Account;aefda1c0-e31d-4595-ad42-83fc1e2fed9f;false;9
10;open-source Response CSS;SDD interface Chair;multi-byte;Global Kentucky;874455af-5f08-44ce-925d-3e9b2e24bf03;false;10
