id;uid;active;vendor_id;business_category_id;ad_organization_id
1;b709dd7f-c34e-492e-9bbd-c1497236b8c9;false;1;1;1
2;46900e16-03fe-4ec5-91a4-218510ed7d6c;true;2;2;2
3;3616351b-3516-4389-bd26-709100687f79;false;3;3;3
4;d61885ef-d11a-4924-b5f0-186aba052ee4;false;4;4;4
5;ab850af7-23e5-4752-9e4d-ee73906f4cde;true;5;5;5
6;de525c3f-0808-430a-84b0-14591b65c476;true;6;6;6
7;080fc074-ed16-4177-bbf1-dace2009f54c;false;7;7;7
8;7f67ac0d-2a5f-4efc-aeea-5b45266777d2;false;8;8;8
9;7ba297c1-8b40-4e69-8533-e67e69224b32;false;9;9;9
10;b519c25b-b032-43b1-83ae-f784088d6419;false;10;10;10
