id;name;uid;active;ad_organization_id
1;Pataca;4037c6e9-bd66-4051-88ad-403170060468;false;1
2;CSS;69ef9fcf-bfa8-479e-8eb6-0b91a68b3e25;false;2
3;Chair circuit;b12fb181-66b2-42de-9138-a121765edac1;false;3
4;Business-focused Senior Ohio;6ffb7da8-10f3-4802-ba94-2e7383a13bb4;true;4
5;Ergonomic Frozen Shirt cyan;ed81ba33-4f09-45f4-8380-fa917bd856f7;false;5
6;cutting-edge invoice Represent;dad85aaf-02b7-4e2e-b2db-16b7300116a9;false;6
7;protocol users Customer;bc84c979-f447-4d54-8f79-a65e6ce1e6fe;false;7
8;Rwanda Franc;4a436659-377f-4892-a16a-d57001059c5d;true;8
9;Buckinghamshire gold;6ecaf5fd-5e21-496f-87af-9c07eb7e6da2;false;9
10;Incredible Concrete Ball;6cb80c74-050d-4108-8877-6e0e1cefb6b2;true;10
