id;tax_invoice_address;ship_address;invoice_address;pay_from_address;uid;active;ad_organization_id
1;true;true;false;false;4f4e4ddd-ff7d-4e0b-a89f-93056641c21e;true;1
2;true;false;false;true;17793ee1-f7c7-477d-aa74-9df660b39cad;true;2
3;false;false;true;false;4f2bdcb9-dcc3-44af-947f-d803c20cfd92;false;3
4;true;false;false;false;c74550e7-a874-4463-ad34-7415c4d78c0d;false;4
5;true;true;true;true;842ac6cf-5adf-4614-98ee-42070a3e20b0;true;5
6;true;true;true;true;bdb65293-b419-4ea9-99fa-6390f7a37514;true;6
7;true;true;false;true;55f8f7eb-b5ad-449a-a91b-ea28067d9a75;false;7
8;false;true;false;true;e58f5844-0e2e-4e5a-9181-349482afe5bb;true;8
9;true;true;true;false;31fb9cac-8575-4785-98e2-b0d37347eda7;true;9
10;true;true;true;false;48c9e1b3-4eaf-44b2-8399-dcdecc0ed25e;true;10
