id;auction_status;quantity;ceiling_price;amount;bid_decrement;protect_back_buffer;protect_front_buffer;uid;active;ad_organization_id;auction_id;product_id;uom_id
1;bypassing ;40936;91550;13619;60140;63671;45343;bc071d49-f6b4-4700-8a62-395f789736ea;true;1;1;1;1
2;Checking A;25912;62813;34804;62250;55651;92097;a9a45c9f-24f2-4d57-bca9-8e8cd167c0f1;true;2;2;2;2
3;reboot Lea;82550;5616;1458;24347;83031;5077;0750bc4a-e60e-4e23-b561-10c85b82c9a4;false;3;3;3;3
4;Guyana;66702;45932;81657;77927;42883;519;df4cde6e-6bf0-4e65-8c0a-95f7921c9813;true;4;4;4;4
5;neural;71237;27177;30373;89580;87656;25636;48025058-dd69-43fb-80b3-e1a21f90487b;true;5;5;5;5
6;local Groc;72271;42095;38809;42440;9065;74998;2c4dbca4-1c68-4403-b95d-b14b38ec68c1;true;6;6;6;6
7;bleeding-e;55094;96930;91465;74431;74755;50484;81a8b747-7711-455f-ad96-2eb389398431;false;7;7;7;7
8;Oklahoma;82534;69634;65736;30307;63062;25501;f2701445-4027-48ef-a220-84e224037b29;true;8;8;8;8
9;disinterme;64094;14155;21965;26601;29268;73749;9143f686-d444-47df-96bd-08b4c94aac2f;true;9;9;9;9
10;Divide;30393;6010;46592;59077;98167;4184;ac1cb8e5-6be5-45c4-a288-d1d1b506eff4;true;10;10;10;10
