id;uid;active;price_negotiation;total_negotiation_price;negotiation_percentage;bid_nego_price_id;bidding_line_id;proposal_line_id
1;15953ebc-e391-4081-9d17-6ca7dfcb4240;true;43794;3212;38310;1;1;1
2;89991e10-4966-4832-bf80-ab9abd564035;false;8586;61201;62165;2;2;2
3;f3025d5d-834c-4da9-849b-280e484bcdcd;true;63284;55424;74668;3;3;3
4;4dd0a931-af6e-40ef-8fba-0cd46b566a11;false;3593;67957;13569;4;4;4
5;57787ca0-4fd3-4a16-91d4-d8a97796c0b1;true;42596;23989;22497;5;5;5
6;798178aa-5a4b-4a9d-acf8-18ba85676895;true;51814;57193;87300;6;6;6
7;6ac095dd-85ab-4dff-81f1-dd39faf2682a;true;88221;63351;84083;7;7;7
8;addf024d-e331-4445-98a7-bd1410fe3657;false;78337;76973;90636;8;8;8
9;43701d0d-8e71-4319-915c-404a9cdccf5f;true;11357;40998;76017;9;9;9
10;c0a8d629-ba4b-4d79-8366-f30e0cbc7502;false;82913;22771;16238;10;10;10
