id;evaluation_status;uid;active;bidding_submission_id;bidding_schedule_id;ad_organization_id
1;invoice Avon;1e0491d1-e3aa-40ef-a707-2514c031552c;false;1;1;1
2;Small bricks-and-clicks directional;96f8d0ea-5cbe-4da0-9aeb-035805a0e8ea;false;2;2;2
3;Tools;d34e8b6a-dbef-4273-9a6e-3af83f38d827;false;3;3;3
4;turquoise Sports Auto Loan Account;c5a0a18a-95a2-4f41-ab21-583bad8031bd;true;4;4;4
5;Silver auxiliary;3572850b-fd15-41eb-b2c4-041fbf865f61;true;5;5;5
6;Unbranded Wooden Soap Plastic Libyan Arab Jamahiriya;c634bf4a-19c3-44c4-a67c-cca8e39960c2;false;6;6;6
7;concept online;e3e97e7f-f82a-4d5f-8624-7f199f31fc42;false;7;7;7
8;Personal Loan Account;04fb5425-4a04-49be-965b-93932f74576c;false;8;8;8
9;mint green;3eb9f1c5-73d4-40f3-b341-0f33ebd3ee6a;true;9;9;9
10;white Rubber French Southern Territories;16597cb4-ccbb-4962-ba92-4f115cc8bc04;true;10;10;10
