id;status;uid;active;ad_organization_id
1;Security;7c8dbc00-f5b9-462c-9ad8-433caf662dc7;false;1
2;parse transmit Steel;41292d28-4fb6-46d5-90f3-3399f2e31ac4;true;2
3;Avon USB;7f3b54ec-e30b-4352-80d9-2b242dd73697;true;3
4;Money Market Account applications;801c9d4c-e446-4b97-9bc3-0fd325aa8e28;false;4
5;Direct Developer;82fd5f6f-976c-471d-91d4-3cea87095ba0;false;5
6;Qatari Rial;e2c101dc-f213-4c64-85b9-c2ed4f635973;false;6
7;brand exploit Refined Rubber Bike;80d2b59b-7f8f-4c92-abe3-a21156e7a28a;true;7
8;silver;2fb65e49-d5e1-4ecf-91ff-ec6917b3d6e9;false;8
9;Refined;42f6f715-c01d-4e4d-92d7-1612df48314b;false;9
10;Granite incremental Identity;432f57e9-9592-4ba9-94d4-d339861d8529;false;10
