id;line_no;quantity;ceiling_price;total_ceiling_price;delivery_date;remark;uid;active;bidding_id;ad_organization_id;cost_center_id;product_id;uom_id
1;15047;3206;3779;91920;2021-02-11;Cambridgeshire;2bf13b87-c7ef-42fc-80b5-e368f078d896;true;1;1;1;1;1
2;44950;81781;46878;88679;2021-02-11;flexibility Baby Tennessee;4b0d87ea-28de-4941-ab36-4975d3e4d805;false;2;2;2;2;2
3;65666;21908;35862;89813;2021-02-10;Credit Card Account Andorra multi-state;0a2fe9f2-c378-4872-9508-8a4e3040e81e;true;3;3;3;3;3
4;11804;96525;42892;46474;2021-02-10;Granite Summit;1f476ef0-cb56-4509-840c-55edd874a08d;false;4;4;4;4;4
5;28549;27801;98018;62726;2021-02-10;repurpose implement Trace;d2bdbada-9965-42d9-9211-f3466f8f72d6;false;5;5;5;5;5
6;79902;39965;83530;49658;2021-02-10;matrix Intelligent Steel Tuna invoice;fa899541-6aba-44de-8d95-da5fcf74537c;true;6;6;6;6;6
7;18113;49772;6686;75433;2021-02-10;Indonesia;9c609384-1348-4ced-a8ff-6dbaf632542e;false;7;7;7;7;7
8;24368;92685;17882;9438;2021-02-11;channels Developer;cf9d3531-2814-4d30-8389-44715ab75ddb;true;8;8;8;8;8
9;67208;19243;86192;72603;2021-02-10;teal Designer middleware;089c940b-e404-447c-b0d7-605cd5befb80;true;9;9;9;9;9
10;74764;81711;41128;60810;2021-02-11;channels Factors Mouse;c34bbbd4-1441-4780-b21f-cd51264e8174;true;10;10;10;10;10
