id;bidding_status;evaluation_status;start_date;end_date;uid;active;bidding_eval_id;ad_organization_id;bidding_schedule_id
1;access;Personal Loan Account;2021-06-01T19:02:23;2021-06-01T11:42:44;63a494a1-4825-4b74-b7f2-018c91f9b25d;false;1;1;1
2;Chad;feed;2021-06-02T04:16:55;2021-06-01T17:08:31;0a73da4b-e352-4e06-acb0-d0078c5545c0;true;2;2;2
3;e-business Venezuela Future-proofed;silver Croatia;2021-06-01T11:23:10;2021-06-01T13:53:39;c11ca232-bf1e-4ee7-a4b1-d34eb02802cd;false;3;3;3
4;partnerships;payment;2021-06-01T08:36:21;2021-06-02T03:14:34;56061708-4cd0-4efa-85b4-9bb8247a4ddf;false;4;4;4
5;invoice;action-items systemic Seamless;2021-06-01T06:49:20;2021-06-01T17:13:50;2bc379f2-0255-49e6-bdea-82b855b0dd94;false;5;5;5
6;Aruban Guilder;content Communications Checking Account;2021-06-01T10:09:52;2021-06-02T00:08:59;f0327134-e72d-441f-a8b0-4b65d928f15d;false;6;6;6
7;content panel;feed compressing Rand;2021-06-01T17:33:36;2021-06-01T09:45:04;fa5f64e3-ac0c-4f78-bfb7-a9be957c1df2;false;7;7;7
8;moratorium;Brunei Darussalam Corporate;2021-06-01T12:01:27;2021-06-01T09:51:15;042f5ef9-7281-48bb-bbee-f17387ccf3ac;true;8;8;8
9;deposit Plastic;Ergonomic feed;2021-06-01T07:37:09;2021-06-01T19:22:52;72e0f850-dccc-4e53-8539-848cfabddc15;false;9;9;9
10;Identity;Ergonomic Metal Bike Won;2021-06-01T23:59:54;2021-06-01T19:28:37;09c811c6-f428-43ab-8ac0-a0bb67b71066;false;10;10;10
