id;negotiation_status;uid;active;ad_organization_id;negotiation_id;bidding_eval_result_id
1;program Games deposit;815fca43-2257-4aee-9fed-87d071e54ebb;false;1;1;1
2;Cambridgeshire Automotive Wooden;c5994f40-7940-4125-a12a-fa9ddb1e9e66;true;2;2;2
3;port Officer Refined;6e7e6c93-4894-4990-8e74-6d675b8d6ea4;true;3;3;3
4;1080p haptic Small;efb842ce-32d0-41be-b056-66a06b7c894e;true;4;4;4
5;pixel;8734f560-0b46-4e95-b8af-17c9210515ee;true;5;5;5
6;Forint;c4eb1dfb-05c3-4027-893e-23912aa5f65c;false;6;6;6
7;Bahrain;854bd37f-e6d8-4041-9e7d-136312923f97;true;7;7;7
8;payment XSS;7fdc0c63-9003-4866-835c-060838d0ec79;false;8;8;8
9;Incredible Metal Shirt Bahamas;fc6bdc95-d9bd-49fd-82b3-b3ef4d538a2d;false;9;9;9
10;synergistic;caf7d5ec-887f-4a81-b623-5c7233709d99;false;10;10;10
