id;uid;active;c_attachment_id;ad_organization_id;bidding_schedule_id
1;3f469289-97ac-4421-8b18-0dc1141d3c3a;false;1;1;1
2;b65f04de-9ec7-4867-b0eb-b2bc7a507a35;false;2;2;2
3;85dd3b99-2012-46d3-ad3e-a5b5731d5f83;false;3;3;3
4;1f544327-9445-4de7-b18b-b0fb3da06caf;true;4;4;4
5;ce2c07cc-3989-4a47-b76f-e403eeb03bd3;true;5;5;5
6;49c7cb63-5ba9-4e20-a438-80a3ec57bc20;false;6;6;6
7;f9f5b04f-7cb8-4916-b0d4-4190b16fa842;false;7;7;7
8;e8c4d48e-83af-444a-b30f-804894d208f7;false;8;8;8
9;c41eed32-d677-46e3-b630-b21d831e7765;false;9;9;9
10;507d49e2-7094-4265-8acc-2e5ed9d7a29c;true;10;10;10
