id;total_amount;uid;active;ad_organization_id;product_id
1;56964;748e2d37-e203-46c0-a297-05c0e65dfa66;true;1;1
2;62485;c7b9ed90-082a-4219-8204-8f942ebbe403;false;2;2
3;94712;85389fed-5758-4a87-9544-038af8d1fccf;true;3;3
4;47658;c39a7b2c-70e2-4afd-83cd-d8cf302dd873;true;4;4
5;5531;58977b11-95bf-4ed7-99be-950b8257424b;true;5;5
6;36991;e3988ac2-2eee-4375-810f-a0eb0fd47fb5;false;6;6
7;55626;d16f25b5-d2ed-4e86-b00c-b5acd4ba3266;false;7;7
8;76761;3886afac-7616-46cd-a345-f27d94758d55;false;8;8
9;1504;2549b764-ca03-4fdd-9f88-1f232f2eaca7;false;9;9
10;3869;c4dc721b-8b47-4109-8c3e-ba31d5c02627;true;10;10
