id;line_no;quantity;price;amount;uid;active;ad_organization_id;product_id;uom_id;bidding_sub_item_id
1;59107;77308;74620;20297;a6f79d15-ae1b-4a9b-83d1-77f95c85f8ff;true;1;1;1;1
2;90058;70382;14467;83069;ee3834a3-bf15-41d9-8fd3-70b2d6ccfaf2;true;2;2;2;2
3;25282;43478;4438;47916;995a92bd-72af-4421-be85-e3e463d526e7;false;3;3;3;3
4;42859;2202;55907;16418;eb3bfb02-32e0-455a-8101-77ae9be40141;true;4;4;4;4
5;79680;86733;13336;39913;687af643-46ff-4756-be09-5ef63622158c;false;5;5;5;5
6;44453;1137;71011;28226;0d8b7e6c-5c69-4aaa-96cd-fa02b22dc610;false;6;6;6;6
7;28215;81584;81814;23948;e71706f0-1433-4721-88eb-27d6e4e41373;true;7;7;7;7
8;41024;47254;37201;98058;e9ce9104-d451-4fdf-b63a-4924eca5bbf3;false;8;8;8;8
9;47353;87121;63944;60904;09c90c16-f5ec-47f7-a4cf-1d1e6a28b6fd;false;9;9;9;9
10;48137;83347;592;66516;ce0d6fe3-3fe1-487e-9eb2-fb1a673b8ab4;true;10;10;10;10
