id;name;uid;active
1;Credit Card Account Zimbabwe Dollar 24/7;96bc5e25-7904-40f9-80f0-f17d3893373d;true
2;monitor tangible;af5930e2-aba0-4daf-9cb5-351384b7e007;true
3;bypass technologies New Mexico;2842d2f3-6569-44b9-9315-d566e2b1dc62;true
4;Manager;d704becb-661e-4a47-ae79-08bc73b3c0e3;false
5;Refined Cotton Shirt wireless;139f100a-50ca-4345-8449-1fa44a7d0d8f;false
6;orange Guarani stable;0917819e-fb7d-4d8e-94df-8a85ea48b0a7;false
7;bypass;eef0bfc6-1ede-4e8d-9998-35fdddd0e8f4;false
8;Practical;f40e0b63-4689-4d05-aa01-8006d81248b1;false
9;Sleek Borders Hat;e45a6ccd-40c3-40ac-b4c5-7fbce0b1e63c;true
10;out-of-the-box Music;c0410c9c-5713-4176-806a-5f9c8eafb33d;false
