id;line_no;quantity;quantity_balance;ceiling_price;total_ceiling_price;delivery_date;remark;uid;active;contract_id;ad_organization_id;cost_center_id;product_id;uom_id;vendor_id
1;72855;51030;65972;2405;29857;2021-06-24;yellow;c9b8d345-ea5f-4e72-91f9-a3f3867ab8cf;false;1;1;1;1;1;1
2;2837;31924;17909;57268;66719;2021-06-24;Suriname Garden Borders;ea8098ea-1e7f-4020-b1cc-15224a4355a4;true;2;2;2;2;2;2
3;93857;24637;73954;39490;51999;2021-06-24;indexing integrate Soft;aef8f764-2da6-449f-b2fd-23e32e41a88d;false;3;3;3;3;3;3
4;4503;45737;93416;78927;19407;2021-06-24;orange dynamic;1840078c-49a2-460c-9de2-00cf141c6314;true;4;4;4;4;4;4
5;65172;98907;54453;35330;55433;2021-06-24;1080p Baby deposit;fb06d006-fb68-4815-a50a-fa8f7f8d18b5;true;5;5;5;5;5;5
6;33593;6042;20680;64654;95263;2021-06-25;database Ball;86781f0d-253b-4196-ba96-017a80e44eb5;false;6;6;6;6;6;6
7;97570;71787;48306;87271;75669;2021-06-24;override;375b8eae-f26e-4543-8173-f4cd2651b870;false;7;7;7;7;7;7
8;3441;66294;48947;24667;90087;2021-06-24;Money Market Account;34fe4a93-934a-4e25-98f6-5824c6e1fe04;true;8;8;8;8;8;8
9;96616;6109;86207;22049;54078;2021-06-25;Soft parse Sri Lanka Rupee;a5b7dd22-005c-41bb-a4c6-bc4798787126;false;9;9;9;9;9;9
10;52553;95430;98295;86832;53346;2021-06-24;Tanzanian Shilling Computers;f9a8d4c1-c939-4e92-af6a-0324dce0e4d7;false;10;10;10;10;10;10
