id;uid;active;ad_organization_id;contract_task_id;pic_id
1;c0d17814-dd79-4323-b979-010e81a25033;true;1;1;1
2;14ef0748-b887-41e4-bf75-230e9b0a680a;true;2;2;2
3;4a4950e9-231f-4d45-9a05-83fe46e5482e;false;3;3;3
4;3993f017-09ed-47d5-861b-91d138115131;false;4;4;4
5;36d4ce8f-633b-493a-a45c-8c5b147f4fbe;true;5;5;5
6;49e001da-8a49-47f2-9910-b63188c9705d;false;6;6;6
7;4966b249-75f8-407d-a942-bf5cab54852d;true;7;7;7
8;f6995ce3-5142-46c9-9e23-dbeced4303f9;true;8;8;8
9;408f0207-a83c-4eba-bf9f-a0ac4a4f2aab;false;9;9;9
10;f1b88c7a-eddc-42c9-9d50-1f8258bfaeb5;true;10;10;10
