id;uid;active;position;ad_organization_id;contract_team_id;ad_user_id
1;5307f3aa-41b9-4da6-affe-30cecfef4c15;false;Jewelery g;1;1;1
2;492fa644-ed6b-493a-8f7f-b456f295d7b6;false;web-readin;2;2;2
3;2a5a9350-a1da-401c-bbeb-eca28a8c3307;false;THX;3;3;3
4;6f0e55f8-d7ce-4242-ae92-c17f75bcd8c4;true;methodolog;4;4;4
5;a7ab71ea-0dfb-405f-9a6d-f212daec62cf;true;SDD Cape p;5;5;5
6;103596ec-514e-4f96-9350-b35042e0a790;false;Shoes init;6;6;6
7;78f0bf27-a602-4e94-9bac-3f3e2a3640a4;false;Digitized ;7;7;7
8;2b7bcc14-7b5b-45e1-b194-1923f7899634;false;Rhode Isla;8;8;8
9;2ecf1e66-fcf4-4333-9930-8b1e82778649;true;reinvent;9;9;9
10;53f41d7e-c671-4009-83d0-414ffeb595a8;true;Sierra Leo;10;10;10
