id;doc_event;uid;active;bidding_id;ad_organization_id;vendor_submission_id;vendor_evaluation_id
1;Directives;885fe024-2529-4f38-9885-f7320d8341fa;false;1;1;1;1
2;backing up Washington Savings Account;818ce2c0-b2d5-4f73-814e-e2d4a4cf9806;true;2;2;2;2
3;motivating open-source yellow;cadd1df5-adfa-4389-99fd-1a902b6074fc;true;3;3;3;3
4;user-centric;fce8fffa-930f-43a0-973f-4e7bf4b70d4c;false;4;4;4;4
5;Colorado bricks-and-clicks overriding;66f7765f-d921-4219-99bd-5ff288acd1fb;false;5;5;5;5
6;monitor;193dfbcf-d6b2-4c8a-9224-53bf2f212874;false;6;6;6;6
7;Shoes;dd3e67f9-a2a5-4119-bdd9-5ab94b0fdbf9;true;7;7;7;7
8;Fiji Dollar Buckinghamshire;a8262bfc-3718-48c6-acc3-730742a66c44;true;8;8;8;8
9;Austria Granite hack;c989c656-40f7-4917-bf67-f7e291a73d60;false;9;9;9;9
10;Borders Idaho motivating;cfab24a0-3123-402d-af39-91ec27e58b2e;false;10;10;10;10
