id;uid;active;c_attachment_id;ad_organization_id;pre_bid_meeting_id
1;f084c56e-80cf-486b-8155-f006c3b05024;true;1;1;1
2;51f619bd-069b-49b5-b8fc-53c352969162;true;2;2;2
3;80076e78-51dc-4b95-bb14-0649a671cdcc;true;3;3;3
4;2517f70c-974a-4111-9ffc-cb9b912afd6c;false;4;4;4
5;bab9b5c3-ebb8-4fac-9489-634e3f3494fe;false;5;5;5
6;2e6a940c-51dc-448f-9be0-b77161039ef6;false;6;6;6
7;2590de19-3b1b-4d98-866e-d42426f8280b;true;7;7;7
8;4632e99a-3e10-4bb5-b6f6-c6afb7302c6a;true;8;8;8
9;db5f68dd-74ff-45a2-85e3-47b846c9a603;true;9;9;9
10;14d691c9-ba16-41ea-bf63-a0c89a14a6de;false;10;10;10
