id;attended;register_date;uid;active;ad_organization_id;pre_bid_meeting_id;vendor_id
1;true;2021-04-29T05:32:53;1459952c-4dfe-407e-966a-36f67bae695d;false;1;1;1
2;true;2021-04-28T18:16:40;df2e7a0e-d550-4ff6-b914-adb8a28fbacf;false;2;2;2
3;true;2021-04-28T23:06:24;290780c9-9c51-4ea9-820b-ea97f2e5038b;true;3;3;3
4;false;2021-04-29T00:58:38;76c02746-0961-4b01-b747-86451976d9fb;true;4;4;4
5;true;2021-04-29T00:56:47;9cd0320c-0fa1-45a8-ae4b-d3c20fe18e9d;true;5;5;5
6;true;2021-04-28T21:27:30;fc158cf9-f72a-49d4-9a4e-10b36438d605;false;6;6;6
7;true;2021-04-28T09:39:16;7efab2b9-7e21-4d81-be5e-c2294ca50a98;true;7;7;7
8;true;2021-04-28T11:47:39;43e56338-e2d5-401a-bccd-10e46d50922e;false;8;8;8
9;false;2021-04-28T18:30:43;dd4bdd65-94be-4b8c-bab6-97f0281b1535;true;9;9;9
10;true;2021-04-28T09:21:06;8af60856-7551-4aad-8ad5-1934dd71a8df;false;10;10;10
