id;registration_status;reason;answer_date;uid;active;ad_organization_id;announcement_id;prequalification_id;vendor_id
1;calculating;system hacking;2021-07-18T23:13:14;6f8fdfe9-cc4a-4359-b7c6-4dca3181af79;false;1;1;1;1
2;salmon;Stream Towels;2021-07-18T19:33:37;c42ae9a6-bc21-4687-8b58-c4e976fa2871;true;2;2;2;2
3;Andorra;scale;2021-07-18T21:54:50;d8afda4d-8d0d-477d-a546-baf5e2dc4b4b;true;3;3;3;3
4;non-volatile Total;Fresh;2021-07-19T06:50:15;953a2f72-bf77-4810-bd47-07af23b6269e;true;4;4;4;4
5;didactic;Syrian Arab Republic azure;2021-07-18T17:56:26;8e5d1abd-de30-4501-a480-dd30a4468798;true;5;5;5;5
6;Sausages;deliverables;2021-07-18T21:50:07;be12d634-a4b2-4717-a359-1f9d5fc734a2;true;6;6;6;6
7;calculate;Grocery Robust;2021-07-18T19:44:14;7c8f7237-30d7-40aa-b8a0-16737fd1f669;true;7;7;7;7
8;neural-net Rustic;Compatible Credit Card Account Group;2021-07-19T06:21:10;e402dd42-f190-4290-96f7-d664c9d439e3;false;8;8;8;8
9;Nauru hacking Car;Grenada;2021-07-19T06:53:32;deae72e4-82bd-4b5c-bc4f-420c317080b0;false;9;9;9;9
10;Plastic International;front-end Manat;2021-07-19T09:23:14;f3aab7ab-0752-40a2-adea-ab10a0b44056;true;10;10;10;10
