id;requirement;uid;active;ad_organization_id;prequalification_id
1;Fresh;377e1ba8-2e58-4d24-a2a5-d787b7b75d31;false;1;1
2;Factors;ca5a4c4d-25f8-4123-9d99-bd7d7ce21361;false;2;2
3;Borders system-worthy JSON;3056014c-b9a4-4530-be7d-36da58867262;true;3;3
4;Cuban Peso Peso Convertible multi-byte;43079a13-324b-45e3-9b27-4e3bf415df00;false;4;4
5;connect Configurable;6ab1a775-519a-4fd7-a0c0-dbebe0874d48;false;5;5
6;white Checking Account;facb6c2c-a3d4-4327-be59-760357076928;true;6;6
7;back-end;ef35cb0c-bdf9-4704-bfed-54438b74af41;false;7;7
8;Realigned salmon Ball;d3f8234e-c5d4-4b0c-ad19-69c142cfaf83;true;8;8
9;Ergonomic Rubber Table;70e474b7-a3d9-4232-852c-9ff6377cb9c6;false;9;9
10;Engineer Maine Fish;1d2b1ef5-693c-4177-9da8-e2de19889ebd;false;10;10
