id;start_date;end_date;status;uid;active;bidding_schedule_id;ad_organization_id
1;2021-04-26T21:57:05;2021-04-26T11:00:17;matrix Fro;c153e214-ea69-4d50-806a-95af9c38e459;false;1;1
2;2021-04-26T07:01:38;2021-04-27T00:28:05;Buckingham;19c4753b-d65a-4c69-8fb9-15fb19a2dc4b;false;2;2
3;2021-04-26T12:04:01;2021-04-26T08:36:41;Quality St;895b01a1-542b-44fb-87ac-6ebd60115c79;false;3;3
4;2021-04-27T03:35:21;2021-04-27T00:35:12;hard drive;9af79ea4-aee3-4c93-8e72-7645c79bada5;false;4;4
5;2021-04-27T01:27:34;2021-04-26T05:55:22;Producer;24c245e7-21a0-4f4e-87da-a20068e3fcea;true;5;5
6;2021-04-26T22:13:59;2021-04-26T09:56:27;withdrawal;bc3a107c-4c66-4221-9cf6-6cb737d203f9;true;6;6
7;2021-04-27T01:25:09;2021-04-26T23:21:05;Tuna scale;0cb698d1-7e80-46ec-a754-652dcafcf5c5;false;7;7
8;2021-04-26T14:39:47;2021-04-27T00:55:17;Legacy sys;057ed446-e0cc-48e1-8e69-becd31047dea;false;8;8
9;2021-04-26T12:20:33;2021-04-27T03:56:45;Danish Kro;730c12f7-1206-4873-816d-8b91c344936d;false;9;9
10;2021-04-26T14:39:27;2021-04-26T18:41:07;Borders Bu;e6852460-d963-46bc-89e8-0e5362922d67;false;10;10
