id;uid;active;name;type;announcement_text;status;date_trx;document_no;document_action;document_status;approved;processed;date_approve;date_reject;rejected_reason;attachment_id;ad_organization_id
1;ff156e40-b65c-4ed7-963c-b846492f7ece;false;turquoise Pants;internet s;../fake-data/blob/hipster.txt;Concrete D;2021-07-14T08:19:51;Central;holistic;invoice Enha;false;false;2021-07-14T06:51:37;2021-07-13T13:25:43;mobile Books Ridges;1;1
2;3bc95b56-91d8-4181-acab-4d5b153aa75c;false;Nauru Avon;Representa;../fake-data/blob/hipster.txt;neural sol;2021-07-14T09:06:45;withdrawal Cambridgeshire oran;blue;neural-net;true;true;2021-07-14T01:27:52;2021-07-13T22:31:06;GB Wooden;2;2
3;19578a37-8db0-4ff4-825b-6ec3fd64ce75;true;ADP Swaziland;syndicate ;../fake-data/blob/hipster.txt;orchid;2021-07-13T16:00:33;Incredible Concrete Chips Chec;morph;Personal Loa;false;true;2021-07-14T06:26:39;2021-07-14T01:23:26;Key online Legacy;3;3
4;d583b8a9-fea5-4e77-b9c1-b00a6423f644;false;Communications e-business;Open-archi;../fake-data/blob/hipster.txt;Guarani;2021-07-14T03:16:52;Handcrafted Belize Dollar depo;Computers ;PCI French S;false;true;2021-07-14T04:29:54;2021-07-13T22:24:44;generate Solutions Chips;4;4
5;8c8d7ecb-46c4-449c-a7e8-31e64ecb6e83;false;backing up 24/7;Shirt paym;../fake-data/blob/hipster.txt;Money Mark;2021-07-14T03:42:54;open architecture;Paraguay;HTTP;true;false;2021-07-13T17:51:48;2021-07-13T19:15:48;indigo District navigate;5;5
6;a1046abd-1c1a-4b0a-adb7-8c7509617752;false;Multi-channelled wireless;GB optimiz;../fake-data/blob/hipster.txt;Avon;2021-07-13T14:02:33;Inlet;Jewelery s;recontextual;false;false;2021-07-14T06:48:31;2021-07-13T23:37:21;Facilitator;6;6
7;6227e465-43ff-416f-830f-addc89578cc5;false;primary Handcrafted New Taiwan Dollar;Bedfordshi;../fake-data/blob/hipster.txt;Credit Car;2021-07-13T13:27:29;implement Savings Account Conf;calculate ;schemas Anta;true;false;2021-07-13T19:40:57;2021-07-13T11:04:38;Auto Loan Account Argentine Peso;7;7
8;a430464e-84a8-4f6d-8ede-15802025a384;false;pink;facilitate;../fake-data/blob/hipster.txt;Berkshire ;2021-07-13T22:08:41;parsing standardization;Handmade R;solution-ori;true;false;2021-07-13T18:14:25;2021-07-14T05:25:13;JBOD bottom-line;8;8
9;7c5a5a16-106f-4f31-9840-fe582230a651;false;Director Clothing;backing up;../fake-data/blob/hipster.txt;enterprise;2021-07-14T08:54:27;JSON Enterprise-wide;Virtual En;hub;true;true;2021-07-13T11:31:48;2021-07-14T09:48:02;El Salvador District;9;9
10;cbdf2c75-9b7c-4920-a8fa-84fba1ab96b1;true;Switchable payment;Liechtenst;../fake-data/blob/hipster.txt;lavender;2021-07-13T16:41:21;alarm;Shoes San ;Books;false;true;2021-07-14T08:25:32;2021-07-14T03:57:37;Lead Cross-platform;10;10
