id;uid;active;ad_organization_id;announcement_result_id;prequalification_id;vendor_id;submission_id
1;eba0f3e7-1084-4c45-9e40-5b4bf0ffdad0;true;1;1;1;1;1
2;fc53c5e8-a2d5-43b3-ae2d-a3a5fb0017bd;false;2;2;2;2;2
3;f6ac7acb-e914-4ce5-8d83-1dad00b41969;false;3;3;3;3;3
4;929a1666-6502-414e-8ea9-35e42f119ceb;false;4;4;4;4;4
5;46aaa337-e7bf-41fe-98de-94bbee6e87bc;false;5;5;5;5;5
6;19d456e3-ed85-444c-885f-5a9fb1bfa6d6;true;6;6;6;6;6
7;5bba9738-8896-474d-a983-c5e35ec5cec1;true;7;7;7;7;7
8;de469534-387f-45ed-844f-a85ce4941131;false;8;8;8;8;8
9;75e7f4d1-9762-4eaa-b2ce-bf9fdd65c224;false;9;9;9;9;9
10;4832afb7-2325-422a-9b10-d5ed3eab0eeb;false;10;10;10;10;10
