id;uid;active;c_attachment_id;ad_organization_id;bidding_submission_id;bidding_sub_criteria_id
1;013915d8-08f6-4702-8984-f3ef29bb5ba8;false;1;1;1;1
2;03552636-db16-42d9-8bb3-7d02248943ec;true;2;2;2;2
3;e44f9f58-88bb-43bf-b3d0-5f16ee296020;false;3;3;3;3
4;116355d1-aa78-4a17-8646-57ab0fc3afd9;true;4;4;4;4
5;abaec3f7-d4e3-4243-bcac-67badbbb0b1c;true;5;5;5;5
6;fd67f60a-2ce6-45fa-a012-206e7f5a9217;true;6;6;6;6
7;7bd7f32d-0575-48d2-89f6-2a3a3795583c;false;7;7;7;7
8;b0723ef8-a951-46d9-85fa-15eda7da7d3e;false;8;8;8;8
9;c2a0dd76-1364-448f-91ad-082f8a7c6d81;true;9;9;9;9
10;dd6ba696-91cc-4a55-8eaa-76bac529860b;false;10;10;10;10
