id;document_action;document_status;proposed_price;ceiling_price;uid;active;bidding_submission_id;ad_organization_id;attachment_id
1;Cotton pro;parse;41682;26044;c7ed7685-c771-40af-b863-814469acdcb8;true;1;1;1
2;Assistant ;invoice;34560;99316;8babbd7f-375c-4456-b1df-30bf1af0104c;false;2;2;2
3;Square;Steel schema;27203;34561;8784def7-bf2d-481a-a28b-f5f833c19e5a;true;3;3;3
4;Gloves Mul;ADP payment;28544;44948;8a34d4f9-3cf9-454e-b90a-8833cdd66dfd;false;4;4;4
5;non-volati;Electronics ;58284;81496;d14118db-db27-450f-857e-0ea546114bcd;false;5;5;5
6;Suriname S;Fantastic;26273;91901;a86c90e8-eace-4b15-bd8f-b14cc3df2a1a;false;6;6;6
7;indexing;payment;15802;77207;10609276-ddcd-4850-91fc-93abba7adb43;true;7;7;7
8;Communicat;content-base;87312;22939;6e108a33-44d5-4c01-bee1-370d72bcac0c;false;8;8;8
9;Chair;compressing;80584;95710;8e101073-4b77-4728-aa53-0a21a70d7ac1;false;9;9;9
10;Haven Secu;Grove Switch;27651;40773;6c3852f3-e0cc-43eb-8045-f03ca26f3928;false;10;10;10
