id;document;proposed_price;total_price_submission;delivery_date;uid;active;ad_organization_id;proposal_price_id;bidding_line_id
1;true;98499;6311;2021-05-05;bb4d04e5-7133-477a-8bb7-a2b4cf6399c2;true;1;1;1
2;false;63881;84579;2021-05-04;55369d57-b502-4ae2-a81a-000b25653db9;false;2;2;2
3;true;26265;92925;2021-05-05;4c999898-b5ac-46ae-98ac-50f06dd36a49;true;3;3;3
4;true;14180;29230;2021-05-04;337f339f-be15-491c-86f2-12f1a46f5604;false;4;4;4
5;false;76445;60580;2021-05-05;7b02483e-a15c-4c03-805b-8af45ff323eb;false;5;5;5
6;false;7791;83857;2021-05-04;e9adebae-1e2d-47a8-9d8b-0e4d1d99c019;true;6;6;6
7;false;26266;83948;2021-05-04;faea9ace-edec-40e2-ae13-701ab208361d;false;7;7;7
8;false;60500;68738;2021-05-04;a992d6ce-9bcf-4645-b2fb-f421068c076e;false;8;8;8
9;true;29720;62699;2021-05-04;38beae91-7349-480b-9c40-a428d80bd655;false;9;9;9
10;true;72182;27920;2021-05-05;8a422f1f-bcba-4278-a83f-264bcb4696a4;false;10;10;10
