id;proposed_price;uid;active;ad_organization_id;bidding_sub_item_line_id;proposal_price_line_id
1;16188;850e6f40-f6e0-4262-98d1-35864cc3289a;true;1;1;1
2;49160;58e84d1d-1692-4371-99b1-28d79cbb77b4;false;2;2;2
3;64428;5aed04a4-7c86-4b36-a736-4919726fba24;true;3;3;3
4;60520;90330b35-e105-46ea-b208-959282093b7a;true;4;4;4
5;88236;5132e40e-375b-46bb-9673-66c1539f03c0;false;5;5;5
6;74389;5b8cd8c7-800e-42a8-9bdd-f7191808b693;true;6;6;6
7;43280;09aab29e-b30d-4aaf-8d02-6d599422ba55;true;7;7;7
8;46764;a6d8445c-f22a-49cd-8e7d-a8b154575c82;true;8;8;8
9;34543;10e2dfc9-1c4f-46fd-8451-a80665063a14;true;9;9;9
10;79683;6dda1ee0-edf1-4fb1-a0d9-e6aade544b3a;false;10;10;10
