id;document_date;date_promised;date_required;requisition_amount;quantity;quantity_ordered;quantity_balance;unit_price;remark;uid;active;requisition_id;ad_organization_id;product_id;uom_id
1;2021-01-10;2021-01-10;2021-01-10;45000;81309;3403;47618;3375;Home Loan Account;d7b46405-7725-4d97-86ea-fd85fe32c544;true;1;1;1;1
2;2021-01-10;2021-01-10;2021-01-10;88543;39930;37627;93890;88847;Personal Loan Account transmitting;976b5038-9f1e-47fe-a2d9-74e99df46262;true;2;2;2;2
3;2021-01-10;2021-01-10;2021-01-10;83900;1328;95932;21577;97679;Markets Games multi-byte;1ede9ebf-28a6-41dd-a66e-b0c4f73ebe29;true;3;3;3;3
4;2021-01-10;2021-01-10;2021-01-10;24582;7320;34128;14191;99550;salmon Roads Practical Steel Mouse;5d6db885-d5aa-4481-a5b9-f834876b047f;false;4;4;4;4
5;2021-01-10;2021-01-10;2021-01-10;84492;12628;37509;37526;27496;Cove firmware;ffe4c1b0-afe4-4ec7-b439-4eac3c5dd861;false;5;5;5;5
6;2021-01-10;2021-01-10;2021-01-10;92434;54525;58907;65920;50680;COM;72cdf880-632e-42c3-a9e2-b3a952da63ae;true;6;6;6;6
7;2021-01-11;2021-01-10;2021-01-10;17596;66581;57674;89758;70186;Wooden;de5aca6e-6469-4312-a3da-786d88394d73;true;7;7;7;7
8;2021-01-10;2021-01-10;2021-01-11;54135;43730;38495;28492;24411;Engineer;b2e0e9ea-95e5-49d2-9cd6-edb23cc7ed49;false;8;8;8;8
9;2021-01-10;2021-01-10;2021-01-10;54209;38504;46790;2263;46799;Rubber;13573693-24c0-47c2-978f-a2c0c83fe345;true;9;9;9;9
10;2021-01-10;2021-01-10;2021-01-10;82921;6230;44912;29572;75453;Savings Account;a668ce81-25a2-467b-a9a6-952f2378f7aa;true;10;10;10;10
