id;document_no;title;date_required;selection_method;joined_vendor_count;quotation_id
1;vortals B2C;Dalasi Cote d'Ivoire emulation;2021-08-14;Turnpike;71686;1
2;Manager Hat;programming calculating;2021-08-14;Platinum d;81580;2
3;parse Swaziland;hard drive visionary Georgia;2021-08-14;bypassing ;67793;3
4;Tools;Cheese ability Balanced;2021-08-14;Usability;41152;4
5;Optimization silver connect;software deploy Intelligent Granite Table;2021-08-14;Michigan;94120;5
6;challenge pixel;utilize;2021-08-14;Checking A;88485;6
7;SMTP web services;Usability;2021-08-14;payment;54912;7
8;National;Assistant invoice;2021-08-15;Checking A;37826;8
9;Handmade Frozen Tuna;AI Arizona Strategist;2021-08-15;revolution;22921;9
10;copy payment;Niue;2021-08-14;Czech Koru;41593;10
