id;uid;active;ad_organization_id;ad_user_id
1;63f73dfb-fa82-495b-820e-1b4a48843dfe;true;1;1
2;f45d27f5-ad0c-45dc-8fe1-9e697c4d6696;false;2;2
3;92cb186e-7601-4702-b84d-ea93cd31a946;true;3;3
4;b6facb6b-b67e-4a87-90c6-b542f605fe0f;false;4;4
5;e414e828-7497-44d1-80fa-24faea6660c2;true;5;5
6;8fed20e2-13c3-4a6a-a320-0789e8aaedf7;false;6;6
7;2ae378c1-2f8d-4d91-9472-da4ed70e91eb;false;7;7
8;b89ed69a-ac11-4e73-a70d-85538b313ae6;true;8;8
9;c28d14ea-59d5-40ea-ae08-ac9922c80fc8;false;9;9
10;a15d8506-155a-43b3-87bf-a95c3fc2927c;true;10;10
